path,spoken_language,signed_language,start,end,words,glosses,priority
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Gift.mp4,en,ins,0,0,Gift,GIFT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Ginger.mp4,en,ins,0,0,Ginger,GINGER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Girl.mp4,en,ins,0,0,Girl,GIRL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Girlfriend.mp4,en,ins,0,0,Girlfriend,GIRLFRIEND,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Give.mp4,en,ins,0,0,Give,GIVE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Glass.mp4,en,ins,0,0,Glass,GLASS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Glue.mp4,en,ins,0,0,Glue,GLUE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Gmail.mp4,en,ins,0,0,Gmail,GMAIL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Go.mp4,en,ins,0,0,Go,GO,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Goa.mp4,en,ins,0,0,Goa,GOA,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Goat.mp4,en,ins,0,0,Goat,GOAT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Habit.mp4,en,ins,0,0,Habit,HABIT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hair_Clip.mp4,en,ins,0,0,Hair Clip,HAIR_CLIP,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hair_Cut.mp4,en,ins,0,0,Hair Cut,HAIR_CUT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Half.mp4,en,ins,0,0,Half,HALF,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hand_Sanitizer.mp4,en,ins,0,0,Hand Sanitizer,HAND_SANITIZER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Handkerchief.mp4,en,ins,0,0,Handkerchief,HANDKERCHIEF,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Happy.mp4,en,ins,0,0,Happy,HAPPY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hard.mp4,en,ins,0,0,Hard,HARD,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hat.mp4,en,ins,0,0,Hat,HAT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hate.mp4,en,ins,0,0,Hate,HATE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Have.mp4,en,ins,0,0,Have,HAVE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/He.mp4,en,ins,0,0,He,HE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Headache.mp4,en,ins,0,0,Headache,HEADACHE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Health.mp4,en,ins,0,0,Health,HEALTH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hearing.mp4,en,ins,0,0,Hearing,HEARING,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hello.mp4,en,ins,0,0,Hello,HELLO,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Help.mp4,en,ins,0,0,Help,HELP,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Her.mp4,en,ins,0,0,Her,HER,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/His.mp4,en,ins,0,0,His,HIS,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Honest.mp4,en,ins,0,0,Honest,HONEST,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hospital.mp4,en,ins,0,0,Hospital,HOSPITAL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hot.mp4,en,ins,0,0,Hot,HOT,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hotel.mp4,en,ins,0,0,Hotel,HOTEL,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/House_Home.mp4,en,ins,0,0,House,HOUSE,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/How_Much_(Explanation).mp4,en,ins,0,0,How Much,HOW_MUCH,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/Hungry.mp4,en,ins,0,0,Hungry,HUNGRY,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/I_Don't_Know.mp4,en,ins,0,0,I Dont Know,I_DON'T_KNOW,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/I_Don't_Understand.mp4,en,ins,0,0,I Dont Understand,I_DON'T_UNDERSTAND,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/I_Know.mp4,en,ins,0,0,I Know,I_KNOW,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/I_Me.mp4,en,ins,0,0,I,I,0
https://pub-42e8cb2c99e341d593579b74af71b94a.r2.dev/Videos/output/I_Understand.mp4,en,ins,0,0,I Understand,I_UNDERSTAND,0
